angDist,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,numax,e_numax,dnu,e_dnu,Teff,e_Teff,logg,e_logg,M,e_M,Prot,e_Prot,Crowding,Tcrit,Vsini,e_Vsini,_RA,_DE
0.003996,293.33469,43.43345,7757382, ,4985,2.657,-0.38,10.872,1.955,0.00214,2848.89,0.495,DSEP,,1,Simbad,293.33469,43.43345,293.33469,43.43344889,7757382,49.5,4.12,5.03,0.19,5244,275,2.63,0.04,1.92,0.34,72.38,3.2,1,5.9,0,0,293.33469,43.433449
0.006984,284.802,44.52899,8480313, ,4714,2.352,-0.42,11.769,1.135,9.81E-04,3237.608,0.318,DSEP,,1,Simbad,284.802,44.52899,284.802,44.52899194,8480313,29.43,1.85,3.6,0.1,4960,213,2.39,0.03,1.41,0.19,60,5.16,1,8.25,0,0,284.802,44.528992
0.006984,293.88766,49.66633,11614637, ,5044,2.35,-0.5,19.937,3.241,5.76E-04,7089.387,0.402,DSEP,,1,Simbad,293.88766,49.66633,293.88766,49.66632806,11614637,28.1,1.79,3.94,0.11,5044,254,2.37,0.03,0.88,0.12,89.69,7.25,1,7.54,0,0,293.88766,49.666328
0,292.38403,44.01857,8167286, ,4959,3.157,0.12,5.8,1.762,0.0127,745.059,0.38,DSEP,,1,Simbad,292.38403,44.01857,292.38403,44.01857,8167286,141,28.66,12.83,0.49,5155,158,3.08,0.1,1.02,0.37,75.42,10.43,1,2.31,0,0,292.38403,44.01857
0,292.10681,37.6898,2305930, ,4888,2.37,-0.7,12.706,1.378,9.46E-04,1197.226,0.548,DSEP,,1,Simbad,292.10681,37.6898,292.10681,37.6898,2305930,28.27,1.78,3.97,0.14,4924,173,2.37,0.03,0.84,0.11,33.75,2.52,0.99,7.48,13.09,0.88,292.10681,37.6898
0.003996,294.48145,49.67166,11615984, ,5273,2.499,-0.5,15.274,2.686,0.00106,4608.744,0.412,DSEP,,1,Simbad,294.48145,49.67166,294.48145,49.67166111,11615984,36.61,2.23,4.22,0.14,5273,266,2.5,0.03,1.58,0.22,64.3,2.5,1,7.04,0,0,294.48145,49.671661
0.003996,287.47342,48.77571,11129153, ,4808,2.341,-0.4,15.61,1.95,7.22E-04,2106.122,0.319,DSEP,,1,Simbad,287.47342,48.77571,287.47342,48.77571111,11129153,27.12,2.72,3.65,0.12,5000,281,2.36,0.05,1.06,0.21,49.09,2.08,1,8.14,9.31,1.46,287.47342,48.775711
0.006984,294.65924,49.64274,11616373, ,4961,2.426,0.07,18.621,3.374,7.36E-04,5793.611,0.416,DSEP,,1,Simbad,294.65924,49.64274,294.65924,49.64273806,11616373,31.99,1.78,3.93,0.11,4961,220,2.43,0.03,1.28,0.16,69.4,6.83,0.99,7.56,0,0,294.65924,49.642738
0.006984,285.06436,46.07638,9451503, ,5113,2.358,-0.5,18.404,2.815,6.36E-04,14687.991,0.31,DSEP,,1,Simbad,285.06436,46.07638,285.06436,46.07638194,9451503,27.3,1.6,4.01,0.31,5127,153,2.36,0.03,0.77,0.15,42.13,3.02,0.99,7.41,0,0,285.06436,46.076382
0.003996,291.78308,47.24318,10207623, ,4810,2.562,0.36,15.269,3.098,0.00123,2224.559,0.397,DSEP,,1,Simbad,291.78308,47.24318,291.78308,47.24317889,10207623,47.87,2.42,4.5,0.14,4810,249,2.59,0.03,2.38,0.3,78.62,7.54,1,6.6,0,0,291.78308,47.243179
0.006984,290.51279,50.87491,12207049, ,5088,3.264,-0.38,4.113,1.133,0.0229,640.511,0.295,DSEP,,1,Simbad,290.51279,50.87491,290.51279,50.87490806,12207049,145.39,6.38,10.95,0.23,5087,120,3.09,0.02,2.07,0.19,142.74,4.04,1,2.71,0,0,290.51279,50.874908
0.003996,285.44382,46.04885,9452147, ,5213,2.381,-1,16.815,2.477,7.34E-04,15999.006,0.315,DSEP,,1,Simbad,285.44382,46.04885,285.44382,46.04885111,9452147,28.1,1.8,4.16,0.18,5211,162,2.38,0.03,0.74,0.11,26.48,2.1,0.99,7.14,0,0,285.44382,46.048851
0.006984,289.96619,48.75606,11133969, ,4795,2.386,-0.3,14.968,1.987,8.35E-04,806.64,0.328,DSEP,,1,Simbad,289.96619,48.75606,289.96619,48.75606194,11133969,30.67,1.66,3.72,0.12,4897,193,2.4,0.03,1.38,0.17,71.86,3.06,1,7.98,5.54,1.48,289.96619,48.756062
0.003996,294.68094,38.68105,3557606, ,5014,3.044,0.21,7.508,2.275,0.00757,1057.198,0.572,DSEP,,1,Simbad,294.68094,38.68105,294.68094,38.68104889,3557606,100.96,6.24,8.09,0.24,5044,118,2.93,0.03,2.29,0.29,26.34,2.99,0.99,3.67,0,0,294.68094,38.681049
0,295.51102,40.59042,5376097, ,4762,2.36,-0.32,14.798,1.831,7.96E-04,4852.021,0.665,DSEP,,1,Simbad,295.51102,40.59042,295.51102,40.59042,5376097,30.11,2,3.66,0.51,4762,113,2.39,0.03,1.33,0.4,55.98,4.81,0.99,8.12,0,0,295.51102,40.59042
0,291.65219,50.85125,12208809, ,4975,2.55,-0.5,12.394,1.985,0.00147,886.043,0.337,DSEP,,1,Simbad,291.65219,50.85125,291.65219,50.85125,12208809,45.13,2.09,4.39,0.13,4975,172,2.58,0.02,2.32,0.25,151.89,8.11,1,6.77,0,0,291.65219,50.85125
0.003996,292.50443,41.04316,5793098, ,4580,2.396,0.07,13.927,1.761,9.19E-04,2848.321,0.522,DSEP,,1,Simbad,292.50443,41.04316,292.50443,41.04315889,5793098,32.89,1.7,3.74,0.13,4742,162,2.43,0.03,1.58,0.19,78.08,6.16,1,7.94,0,0,292.50443,41.043159
0.006984,292.83316,41.08568,5794100, ,4745,2.441,-0.56,9.096,0.833,0.00156,1383.609,0.517,DSEP,,1,Simbad,292.83316,41.08568,292.83316,41.08567806,5794100,35.01,2.49,4.21,0.14,4731,109,2.45,0.03,1.19,0.17,149.83,6.52,1,7.05,0,0,292.83316,41.085678
0.003996,294.27658,41.73899,6371980, ,4923,2.678,0.07,12.357,2.652,0.00198,653.427,0.385,DSEP,,1,Simbad,294.27658,41.73899,294.27658,41.73899111,6371980,60.35,2.97,4.94,0.17,5022,130,2.7,0.02,3.5,0.4,86.64,4.79,1,6.01,0,0,294.27658,41.738991
0,293.79099,42.87085,7288529, ,4909,2.381,-0.5,15.382,2.072,8.02E-04,2471.136,0.522,DSEP,,1,Simbad,293.79099,42.87085,293.79099,42.87085,7288529,28.82,2.13,3.86,1.76,4909,163,2.38,0.04,0.99,0.91,104.46,5.34,1,7.69,0,0,293.79099,42.87085
0.006984,296.2533,50.85771,12217863, ,5048,2.586,-0.5,12.822,2.308,0.00154,5704.942,0.427,DSEP,,1,Simbad,296.2533,50.85771,296.2533,50.85771194,12217863,41.63,4.66,4.77,0.63,5048,210,2.54,0.05,1.33,0.44,65.2,7.2,0.99,6.23,0,0,296.2533,50.857712
0.006984,296.97876,40.53359,5382824, ,5008,2.932,-0.04,8.162,2.078,0.00538,739.249,0.46,DSEP,,1,Simbad,296.97876,40.53359,296.97876,40.53358806,5382824,100.2,4.46,8,0.23,5120,155,2.93,0.02,2.4,0.25,92.21,7.9,1,3.71,0,0,296.97876,40.533588
